0,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
Thuy Lam: Gui e cái túi hong nay i c,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha Tran: E ơi mứt còn hk.c đặt 3 hộp,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thanhhuong Do: Đàm c lay size m,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trang Pham: Lấy mik nâu này M,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thuy Lam: Vay thôi c gui e 2 quan size s co túi thôi ạ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diễm Hạnh: Lúc nay c có nghe đọc tên mã 54 vàng đỏ, e gửi chung nha",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thuy Lam: Đã vay c chốt dùm e tui Hồng nhe,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha Tran: E ơi mứt còn hk.c đặt 3 hộp,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mai Hoang: Áo này còn kg em. Nếu còn chị đặt 2 cái màu vàng và đen.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mai Hoang: Còn màu đen và màu vàng kg em.nếu còn để cho chị  nhe.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Binh Phan: Thích mẫu này ghê bán 4 lần mà vẫn ko thấy đọc tên, có bạn nào xả shop cứ gởi cho minh mình nha",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hoàng Trâm: Xả giúp c quần ống loe dc, c lấy 3 cái kia và ck 100% dc k",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hà Phương: Nhưng hnay gọi thì bảo chỉ có đơn váy body,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
